"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"1216","Aeshna cyanea",9.818115,52.33408,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-23T19:05:25",NA,"Niedersachsen",2020,8,22,2020-08-22,"DE","12:04:00Z",NA
"1217","Aeshna cyanea",6.964185,51.165218,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-11T08:10:54",NA,"Nordrhein-Westfalen",2020,8,10,2020-08-10,"DE","10:03:00Z",NA
"1225","Aeshna cyanea",11.112227,47.948536,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-27T22:37:12",NA,"Bayern",2020,8,27,2020-08-27,"DE","15:48:00Z",NA
"1226","Aeshna cyanea",4.840479,49.981544,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-26T13:33:04",NA,"Wallonie",2020,8,22,2020-08-22,"BE","17:17:00Z",NA
"1229","Aeshna cyanea",8.242254,49.990425,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-23T13:33:22",NA,"Rheinland-Pfalz",2020,8,23,2020-08-23,"DE","11:51:00Z",NA
"1233","Aeshna cyanea",4.826611,49.982603,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-26T13:33:03",NA,"Wallonie",2020,8,22,2020-08-22,"BE","16:47:00Z",NA
"1235","Aeshna cyanea",15.240548,46.904162,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-26T13:47:25",NA,"Steiermark",2020,8,23,2020-08-23,"AT","15:44:48Z",NA
"1238","Aeshna cyanea",4.598608,52.448495,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-27T15:03:42",NA,"Noord-Holland",2020,8,27,2020-08-27,"NL","15:01:57Z",NA
"1239","Aeshna cyanea",8.733958,49.642753,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-23T11:04:15",NA,"Hessen",2020,8,8,2020-08-08,"DE","09:09:34Z",NA
"1241","Aeshna cyanea",10.595802,51.713056,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-22T08:41:24",NA,"Niedersachsen",2020,8,20,2020-08-20,"DE","11:51:35Z",NA
"1248","Aeshna cyanea",4.632187,50.958725,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-08-22T21:40:36",NA,"Vlaanderen",2020,8,21,2020-08-21,"BE","14:31:00Z",NA
