"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1629","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.481878,48.105799,NA,"DE","Bayern",15,9,2020,2020-09-15,NA
"1634","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.734799,45.562833,NA,"IT","Lombardia",13,9,2020,2020-09-13,NA
"1635","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.751462,54.415535,NA,"DE","Mecklenburg-Vorpommern",14,9,2020,2020-09-14,NA
"1637","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.427372,51.485731,NA,"DE","Nordrhein-Westfalen",11,9,2020,2020-09-11,NA
"1639","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.130943,51.98583,NA,"DE","Nordrhein-Westfalen",13,9,2020,2020-09-13,NA
"1641","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.087134,53.615519,NA,"DE","Hamburg",11,9,2020,2020-09-11,NA
"1642","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.382155,47.763749,NA,"DE","Bayern",10,9,2020,2020-09-10,NA
"1647","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661823,45.761799,NA,"IT","Lombardia",17,9,2020,2020-09-17,NA
"1649","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661856,45.761765,NA,"IT","Lombardia",17,9,2020,2020-09-17,NA
"1655","Aeshna cyanea","Aeshna cyanea Müller, 1764",16.011312,48.148473,NA,"AT","Niederösterreich",12,9,2020,2020-09-12,NA
"1657","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.481851,48.10582,NA,"DE","Bayern",15,9,2020,2020-09-15,NA
"1658","Aeshna cyanea","Aeshna cyanea Müller, 1764",-2.860399,47.705402,NA,"FR","Bretagne",15,9,2020,2020-09-15,NA
"1660","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.797098,51.714572,NA,"DE","Nordrhein-Westfalen",16,9,2020,2020-09-16,NA
"1662","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.113566,45.870962,NA,"IT","Lombardia",13,9,2020,2020-09-13,NA
"1668","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.758232,52.346123,NA,"DE","Niedersachsen",17,9,2020,2020-09-17,NA
"1840","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.726213,51.556541,NA,"DE",NA,23,3,2019,2019-03-23,NA
"1841","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.138317,49.86499,NA,"DE",NA,26,4,2019,2019-04-26,NA
"1842","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.38889,48.85503,NA,"DE",NA,30,4,2019,2019-04-30,NA
"1844","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.001038,51.370762,NA,"DE",NA,1,4,2019,2019-04-01,NA
"1845","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.561525,50.00069,NA,"DE",NA,19,5,2019,2019-05-19,NA
"1846","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.384297,52.214901,NA,"DE",NA,31,5,2019,2019-05-31,NA
"1848","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.578615,48.910156,NA,"DE",NA,31,5,2019,2019-05-31,NA
"1849","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.440675,50.791908,NA,"DE",NA,31,5,2019,2019-05-31,NA
"1850","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.578525,51.125774,NA,"DE",NA,21,5,2019,2019-05-21,NA
